text,label
that’s pathetic,0
really puke man,0
hate today,0
totally prick,0
you joy,1
that’s failure please,0
slob man,0
that’s douche,0
you get lost,0
totally enjoy,1
you lame,0
this is success,1
weird please,0
I shut up dude,0
fool,0
so lazy,0
I hope now,1
very shut up,0
very sucks .,0
you inspiring,1
bullshit,0
very team,1
totally motivating man,1
this is psycho now,0
joy please,1
so nice day today,1
that’s best wishes please,1
you suck man,0
totally pathetic,0
stupid,0
that’s joy,1
positive dude,1
you dumb,0
beautiful please,1
very cute,1
welcome now,1
crap .,0
shut up today,0
really slob,0
smile !,1
so success,1
you peace,1
this is cheers dude,1
that’s psycho,0
cheers please,1
that’s welcome,1
you you suck .,0
hate !,0
hello now,1
weird .,0
ugly please,0
this is trash,0
totally cool today,1
that’s pathetic dude,0
this is smart,1
so wow today,1
creep today,0
great,1
clever now,1
lazy man,0
really brilliant,1
really happy today,1
fat,0
lovely man,1
that’s get lost,0
freak,0
you damn,0
disgusting today,0
you motivating now,1
I slob man,0
fun .,1
so hope !,1
I stupid please,0
totally jerk .,0
peace,1
I fantastic,1
that’s dumb,0
thank you man,1
this is ugly,0
really success,1
that’s fool man,0
perfect,1
smart today,1
you super !,1
you amazing,1
very kick you,0
this is shut up !,0
you stupid,0
this is moron,0
excellent !,1
really welcome,1
hurray man,1
totally fool,0
very lovely dude,1
creep,0
cheers today,1
really moron .,0
really support,1
that’s congratulations,1
really creep now,0
really asshole,0
very thank you,1
very lazy,0
really amazing,1
this is lame dude,0
sucks !,0
freak now,0
really bastard,0
great job .,1
asshole .,0
this is sucks man,0
this is psycho,0
very go away,0
that’s arrogant !,0
please today,1
pretty man,1
happy .,1
you annoying,0
so slob,0
totally thank you today,1
I stink !,0
great job,1
I loser,0
enjoy !,1
very good luck .,1
fool !,0
puke,0
smile,1
you pathetic please,0
that’s bastard today,0
that’s prick !,0
you shitty please,0
really please,1
so screw you .,0
get lost man,0
lovely dude,1
so peace now,1
you well done today,1
hello .,1
you nice day,1
very awesome now,1
I hurray,1
I mean,0
this is please,1
totally ugly,0
so psycho,0
totally bullshit,0
help today,1
that’s bastard please,0
very good morning,1
really fool dude,0
you sweet,1
crap now,0
peace dude,1
this is crap,0
so please,1
joy now,1
this is nasty .,0
brilliant man,1
really douche,0
die !,0
shut up,0
moron dude,0
you asshole,0
die,0
totally stink,0
so support please,1
so stink please,0
that’s peace,1
totally hope !,1
totally super man,1
terrific,1
wow !,1
that’s get lost .,0
totally help,1
this is cheers,1
really great job,1
love please,1
very nasty,0
nasty .,0
totally fun now,1
puke !,0
so team,1
you gross man,0
this is lame man,0
very enjoy,1
that’s positive,1
very congratulations,1
idiot,0
you shitty,0
very piss off,0
mean,0
get lost today,0
hurray,1
clever !,1
so good luck,1
you awesome,1
that’s positive dude,1
whore,0
very congratulations please,1
cheers dude,1
so pathetic,0
you jerk,0
so gross,0
I shut up,0
pathetic now,0
very cheers !,1
freak man,0
support man,1
ass .,0
this is fantastic today,1
this is brilliant,1
this is die now,0
bitch dude,0
totally sucks,0
very good luck,1
totally kick you,0
I love dude,1
whore today,0
really go away dude,0
very positive,1
gross,0
die dude,0
that’s best wishes,1
so stink,0
this is hope,1
this is screw you .,0
I fun,1
disgusting,0
I disgusting .,0
this is terrific,1
so shitty,0
fantastic,1
idiot .,0
please dude,1
really nice day now,1
support please,1
psycho .,0
really sweet,1
happy,1
joy man,1
brilliant .,1
that’s ass,0
that’s get lost now,0
success,1
so well done !,1
that’s joy now,1
please,1
totally smart now,1
hurray today,1
totally perfect dude,1
so arrogant please,0
nasty,0
so gross !,0
good luck,1
very enjoy !,1
I go away,0
this is failure,0
very fuck off .,0
very cool,1
very screw you,0
welcome man,1
very hello,1
congratulations man,1
totally yay,1
really screw you,0
that’s shitty,0
success now,1
so damn !,0
this is clever,1
inspiring,1
totally cute dude,1
very crap,0
totally cheers,1
you slob,0
sweet .,1
very kind please,1
fool dude,0
happy today,1
you you suck today,0
that’s creep now,0
loser man,0
totally terrific,1
I welcome,1
positive,1
I crap today,0
I cool,1
fun dude,1
that’s terrific .,1
sucks,0
totally stink dude,0
lame,0
totally slob !,0
cool today,1
really perfect,1
good morning please,1
douche,0
that’s wonderful,1
totally congratulations !,1
this is success dude,1
that’s jerk,0
so great job,1
you fun,1
inspiring today,1
shitty .,0
I screw you,0
so peace,1
very fuck off,0
so weird,0
that’s stupid !,0
jerk !,0
rude now,0
that’s weird,0
really psycho,0
I positive please,1
really awesome,1
peace today,1
totally inspiring,1
trash dude,0
you wonderful,1
totally great job,1
thank you !,1
I happy,1
so moron,0
very you suck,0
so douche .,0
really peace,1
so inspiring man,1
so puke,0
terrific dude,1
very disgusting now,0
that’s love now,1
bastard dude,0
dumb today,0
team today,1
really clever man,1
stupid today,0
kick you please,0
I ass man,0
totally stupid,0
that’s help,1
I terrific,1
clever,1
team !,1
you great job,1
so hope,1
puke .,0
lazy please,0
really well done,1
you fat please,0
this is congratulations,1
that’s love dude,1
you idiot,0
you happy,1
that’s love !,1
I joy,1
I clever,1
hope now,1
so cool man,1
you welcome please,1
hope dude,1
ass,0
terrific today,1
this is inspiring,1
lovely,1
this is perfect,1
really fat,0
totally smile,1
so clever,1
very crap !,0
you team,1
sucks please,0
beautiful !,1
this is smart man,1
you love !,1
totally bastard,0
this is fun please,1
totally yay dude,1
that’s trash,0
so douche !,0
best wishes,1
you help,1
screw you,0
enjoy,1
congratulations dude,1
this is mean dude,0
this is puke now,0
very lovely,1
that’s mean,0
piss off,0
well done,1
that’s welcome please,1
that’s stink today,0
that’s cool,1
I loser today,0
success please,1
this is fantastic,1
so awesome,1
rude please,0
idiot now,0
I team,1
very excellent,1
you mean,0
so fuck off dude,0
mean man,0
gross today,0
this is kick you now,0
that’s success dude,1
wow,1
totally sucks !,0
that’s asshole,0
this is creep !,0
that’s gross,0
that’s please,1
really lazy,0
weird,0
you ugly,0
shut up !,0
this is whore,0
so cute dude,1
this is wonderful,1
this is pathetic !,0
this is well done,1
really disgusting,0
really kind,1
really joy,1
clever .,1
so help man,1
I bitch,0
really nice day .,1
team .,1
really friend,1
you best wishes dude,1
really smile .,1
amazing,1
hope,1
very friend dude,1
wow please,1
really screw you !,0
so die dude,0
support,1
I whore,0
very ugly,0
you sucks,0
very creep,0
loser !,0
weird today,0
support now,1
I bullshit,0
you failure,0
so rude,0
really jerk,0
you motivating,1
hope man,1
excellent,1
so fuck off,0
creep dude,0
ugly today,0
you fantastic,1
this is kind,1
totally friend,1
best wishes now,1
rude .,0
you piss off,0
I cute dude,1
very pretty,1
you hurray,1
excellent .,1
this is fat,0
that’s success,1
totally team man,1
very thank you now,1
rude,0
so brilliant,1
brilliant !,1
you nasty,0
totally rude,0
I ugly,0
totally dumb,0
really piss off,0
this is nasty,0
you welcome,1
really beautiful,1
so happy,1
that’s nasty,0
I well done,1
nice day !,1
totally wow,1
success man,1
excellent man,1
totally annoying,0
I ugly please,0
prick today,0
I success,1
brilliant dude,1
cheers,1
very peace,1
that’s beautiful now,1
this is kick you dude,0
I jerk today,0
this is disgusting,0
totally success,1
very awesome .,1
really go away .,0
that’s douche dude,0
totally failure,0
really weird now,0
this is beautiful !,1
I pathetic,0
you fat,0
fun today,1
loser dude,0
totally good morning,1
so beautiful man,1
welcome,1
that’s stupid now,0
I enjoy please,1
totally wonderful .,1
you suck,0
wonderful now,1
friend .,1
I fuck off,0
so hate,0
very great,1
congratulations,1
pathetic,0
dumb,0
wonderful dude,1
very weird !,0
totally terrific please,1
totally freak,0
fun man,1
that’s stupid,0
very inspiring today,1
whore please,0
terrific .,1
very best wishes,1
this is fun,1
moron now,0
really motivating,1
this is team,1
that’s clever today,1
I sweet today,1
congratulations please,1
I good luck,1
get lost,0
asshole dude,0
very trash,0
really nasty,0
I wonderful,1
amazing please,1
really positive,1
very damn,0
so fantastic,1
you stupid !,0
you you suck,0
I amazing man,1
really hurray,1
love,1
this is positive !,1
inspiring dude,1
really moron,0
trash,0
very damn !,0
cool !,1
that’s sweet,1
very moron,0
that’s pretty dude,1
amazing !,1
shitty,0
help,1
pretty today,1
you you suck man,0
smile .,1
you clever now,1
you disgusting now,0
good morning,1
super,1
I great job,1
this is bastard,0
very love,1
totally welcome !,1
that’s shitty please,0
this is die man,0
that’s kick you,0
so cheers,1
this is jerk,0
this is rude,0
really success today,1
you wow,1
kind,1
this is dumb,0
screw you please,0
prick,0
very shitty man,0
really hope man,1
this is smile,1
lazy dude,0
so crap !,0
this is slob,0
totally happy .,1
thank you please,1
fantastic !,1
this is inspiring !,1
totally you suck,0
really piss off please,0
I yay,1
really kind .,1
stupid now,0
very ugly dude,0
please .,1
so inspiring,1
really idiot dude,0
kick you !,0
hate,0
really pathetic man,0
sucks now,0
really loser today,0
pathetic !,0
that’s pretty,1
very slob,0
pretty,1
get lost dude,0
so pretty,1
this is excellent,1
I kick you,0
this is good morning please,1
totally pathetic today,0
damn .,0
really failure today,0
totally dumb dude,0
so smart,1
so motivating,1
you lame dude,0
so go away .,0
so hello,1
totally please,1
you trash,0
love today,1
bastard now,0
you positive,1
very smart,1
cheers man,1
really stupid .,0
happy please,1
I lovely,1
failure,0
this is stupid,0
totally moron,0
failure man,0
you please,1
I piss off,0
creep man,0
I fat,0
really pathetic,0
loser now,0
ass today,0
you crap,0
yay,1
that’s damn now,0
that’s support,1
that’s sucks now,0
go away,0
so creep today,0
really hello,1
motivating .,1
very whore,0
that’s inspiring,1
beautiful,1
very beautiful,1
I trash man,0
I failure,0
that’s bullshit today,0
you stink,0
friend,1
that’s happy !,1
I amazing,1
enjoy today,1
totally arrogant,0
brilliant,1
really rude,0
totally bitch,0
this is douche,0
smart,1
totally slob,0
that’s yay,1
you friend,1
I lame now,0
totally team now,1
that’s fun,1
douche man,0
psycho now,0
piss off please,0
moron today,0
you suck today,0
so positive,1
gross dude,0
very support man,1
this is yay,1
that’s fantastic,1
you freak .,0
psycho please,0
totally fuck off,0
you lazy,0
really lame,0
really terrific,1
totally hurray,1
really congratulations please,1
fuck off now,0
really crap,0
I you suck,0
that’s lazy .,0
that’s clever .,1
really fun .,1
wow now,1
totally support today,1
really super .,1
jerk please,0
this is asshole,0
you thank you,1
stupid man,0
clever please,1
bitch today,0
sweet today,1
very cheers,1
totally hello,1
you brilliant,1
so lovely dude,1
very good morning dude,1
help !,1
very awesome,1
welcome !,1
fuck off,0
totally die,0
I annoying,0
really bullshit,0
very douche,0
really great,1
totally puke,0
really super,1
slob dude,0
you douche,0
psycho,0
I damn,0
I perfect now,1
crap please,0
this is die,0
jerk,0
this is get lost dude,0
screw you man,0
go away dude,0
crap,0
so bullshit,0
that’s good luck,1
very freak now,0
annoying today,0
friend today,1
this is pathetic now,0
really happy man,1
I yay .,1
this is inspiring please,1
this is lame please,0
you enjoy man,1
crap man,0
you psycho .,0
so disgusting now,0
team dude,1
that’s screw you,0
very disgusting,0
this is peace,1
screw you !,0
totally lame man,0
positive .,1
kick you dude,0
really help,1
asshole,0
very whore now,0
so best wishes,1
very thank you !,1
gross please,0
that’s go away,0
totally damn today,0
support today,1
that’s smile,1
so super,1
really excellent man,1
so you suck,0
very annoying,0
kind dude,1
really inspiring,1
piss off today,0
very shitty,0
arrogant,0
totally weird,0
die now,0
you fuck off,0
this is annoying,0
weird man,0
that’s slob today,0
you mean man,0
stink,0
that’s shut up,0
so fat man,0
so whore,0
very joy,1
so wonderful !,1
really stink,0
I motivating please,1
so go away,0
so well done,1
fat dude,0
totally amazing,1
I lazy,0
psycho !,0
kick you,0
very asshole,0
loser,0
bitch,0
that’s perfect please,1
that’s fat,0
totally perfect now,1
really freak,0
fat !,0
really jerk dude,0
totally smart .,1
dumb now,0
I moron,0
I excellent,1
this is congratulations .,1
so kick you,0
awesome,1
shut up dude,0
I idiot now,0
really cheers please,1
so great,1
so damn,0
you hate,0
bullshit man,0
I nasty,0
moron,0
really fuck off,0
weird !,0
that’s moron,0
very yay,1
I idiot .,0
fuck off .,0
lazy,0
really cool,1
so failure,0
I hello,1
wow today,1
this is fuck off,0
very stink,0
I cheers,1
I smart dude,1
you nice day please,1
totally get lost now,0
really smart please,1
I inspiring please,1
I dumb,0
you terrific please,1
I please man,1
this is motivating now,1
that’s bullshit,0
totally good luck today,1
totally screw you,0
hello,1
really happy,1
really amazing .,1
motivating,1
really ugly,0
that’s clever,1
weird now,0
really sucks,0
this is bastard today,0
that’s bitch,0
this is great job,1
that’s lame,0
perfect dude,1
inspiring .,1
wonderful,1
I perfect,1
I good morning man,1
help dude,1
shitty dude,0
cute,1
damn man,0
this is inspiring dude,1
douche !,0
that’s clever !,1
this is ugly dude,0
damn,0
slob,0
really yay,1
very rude,0
that’s joy please,1
very jerk,0
peace now,1
this is hurray .,1
you fat !,0
lazy today,0
totally shitty dude,0
very fun,1
that’s motivating dude,1
you sweet !,1
I stink,0
ugly,0
that’s great,1
jerk .,0
very clever !,1
bastard,0
that’s asshole !,0
totally pretty today,1
very fat,0
kind now,1
that’s wow,1
very arrogant now,0
annoying !,0
really dumb,0
congratulations !,1
sweet,1
thank you,1
that’s stink dude,0
this is puke,0
help man,1
I amazing .,1
very terrific,1
I pretty,1
nice day,1
you lazy now,0
rude !,0
pretty dude,1
you you suck !,0
that’s inspiring please,1
this is wonderful man,1
very brilliant,1
you hate please,0
you success today,1
very super,1
good luck today,1
so lame !,0
totally stink now,0
totally sucks please,0
that’s arrogant dude,0
you cute !,1
douche .,0
lame !,0
hate now,0
I best wishes please,1
this is nasty man,0
really whore,0
you go away now,0
so lame .,0
enjoy please,1
annoying,0
that’s lazy,0
happy dude,1
totally get lost,0
very stupid,0
totally clever,1
so happy now,1
totally idiot,0
so shut up,0
that’s you suck dude,0
totally super,1
really smart,1
nice day today,1
great now,1
you wonderful !,1
this is cool today,1
lame man,0
clever dude,1
cheers !,1
totally nasty,0
very help dude,1
wow .,1
very inspiring,1
mean today,0
cool,1
really die,0
peace !,1
disgusting dude,0
rude dude,0
friend man,1
success .,1
lovely .,1
you enjoy,1
clever man,1
peace please,1
I nice day,1
so help please,1
this is shut up,0
totally great,1
so screw you,0
fun,1
good morning now,1
joy,1
this is prick,0
team,1
so nice day now,1
